WKT,name,prov,date,key
"POINT (-98.59603 29.594842)",Crotalus atrox,gbif,2024/03/16,4597533642
"POINT (-94.963433 29.203862)",Crotalus atrox,gbif,2024/03/16,4597537741
"POINT (-110.739917 32.632014)",Crotalus atrox,gbif,2024/03/15,4597570790
"POINT (-97.76099 27.221996)",Crotalus atrox,gbif,2024/03/16,4597575956
"POINT (-97.735916 27.22007)",Crotalus atrox,gbif,2024/03/16,4597537015
"POINT (-97.767648 27.22198)",Crotalus atrox,gbif,2024/03/16,4597115007
"POINT (-97.759367 27.221877)",Crotalus atrox,gbif,2024/03/16,4597074083
"POINT (-103.799155 26.668722)",Crotalus atrox,gbif,2024/03/13,4597167670
"POINT (-111.428742 32.646538)",Crotalus atrox,gbif,2024/03/18,4597621688
"POINT (-105.017225 30.776962)",Crotalus atrox,gbif,2024/03/13,4597586707
"POINT (-114.668558 33.531037)",Crotalus atrox,gbif,2024/03/19,4597598824
"POINT (-98.857305 30.138153)",Crotalus atrox,gbif,2024/03/14,4600111682
"POINT (-97.524642 31.070533)",Crotalus atrox,gbif,2024/03/14,4599854910
"POINT (-111.986407 33.36321)",Crotalus atrox,gbif,2024/03/20,4599819938
"POINT (-112.221567 33.621637)",Crotalus atrox,gbif,2024/03/20,4599766895
"POINT (-111.747363 33.509521)",Crotalus atrox,gbif,2024/03/20,4599761078
"POINT (-112.220215 33.702025)",Crotalus atrox,gbif,2024/03/01,4599830250
"POINT (-111.958297 33.880706)",Crotalus atrox,gbif,2024/03/21,4600061403
"POINT (-98.788358 34.753129)",Crotalus atrox,gbif,2024/03/14,4600083447
"POINT (-111.728679 33.465447)",Crotalus atrox,gbif,2024/03/21,4599920605
"POINT (-111.703607 33.511088)",Crotalus atrox,gbif,2024/03/21,4600083541
"POINT (-111.62172 33.47198)",Crotalus atrox,gbif,2024/03/22,4600075674
"POINT (-111.207978 32.540505)",Crotalus atrox,gbif,2024/03/13,4600062648
"POINT (-98.465042 29.306412)",Crotalus atrox,gbif,2024/03/22,4600057705
"POINT (-101.783069 33.552698)",Crotalus atrox,gbif,2024/03/22,4600075808
"POINT (-110.906196 32.337512)",Crotalus atrox,gbif,2024/03/22,4600147740
"POINT (-111.621975 33.472535)",Crotalus atrox,gbif,2024/03/22,4599931878
"POINT (-97.828054 28.094454)",Crotalus atrox,gbif,2024/03/23,4599899845
"POINT (-112.294966 33.830242)",Crotalus atrox,gbif,2024/03/23,4599816972
"POINT (-110.726033 32.215802)",Crotalus atrox,gbif,2024/03/23,4599804982
"POINT (-97.906295 30.086517)",Crotalus atrox,gbif,2024/03/23,4599939078
"POINT (-112.177293 33.696019)",Crotalus atrox,gbif,2024/03/23,4599805031
"POINT (-110.987045 31.860592)",Crotalus atrox,gbif,2024/03/21,4600165083
"POINT (-111.961317 33.881923)",Crotalus atrox,gbif,2024/03/23,4600142000
"POINT (-111.951454 33.887317)",Crotalus atrox,gbif,2024/03/23,4600130136
"POINT (-104.341519 29.545938)",Crotalus atrox,gbif,2024/03/23,4599924984
"POINT (-111.758955 33.526846)",Crotalus atrox,gbif,2024/03/23,4600166127
"POINT (-112.381475 33.383201)",Crotalus atrox,gbif,2024/03/23,4599916265
"POINT (-112.379186 33.384365)",Crotalus atrox,gbif,2024/03/21,4600098243
"POINT (-112.834182 32.417688)",Crotalus atrox,gbif,2024/03/23,4600090287
"POINT (-110.88486 32.489354)",Crotalus atrox,gbif,2024/03/24,4600199379
"POINT (-96.811914 28.51495)",Crotalus atrox,gbif,2024/03/23,4600199382
"POINT (-103.13748 29.271538)",Crotalus atrox,gbif,2024/03/24,4599914527
"POINT (-97.662909 29.805701)",Crotalus atrox,gbif,2024/03/24,4599966578
"POINT (-112.066658 33.729428)",Crotalus atrox,gbif,2024/03/21,4599860525
"POINT (-112.080466 33.593979)",Crotalus atrox,gbif,2024/03/22,4599982792
"POINT (-97.398312 27.65203)",Crotalus atrox,gbif,2024/03/24,4599975123
"POINT (-112.368327 33.983727)",Crotalus atrox,gbif,2024/03/27,4607244708
"POINT (-97.801505 31.30235)",Crotalus atrox,gbif,2024/03/12,4606639218
"POINT (-97.478502 26.017957)",Crotalus atrox,gbif,2024/03/26,4607273894
"POINT (-96.987356 28.134421)",Crotalus atrox,gbif,2024/03/22,4606746782
"POINT (-110.8041 32.309958)",Crotalus atrox,gbif,2024/03/28,4607220335
"POINT (-110.815078 32.3096)",Crotalus atrox,gbif,2024/03/28,4606707175
"POINT (-111.742964 33.604186)",Crotalus atrox,gbif,2024/03/28,4606699187
"POINT (-103.136896 29.266914)",Crotalus atrox,gbif,2024/03/28,4607215195
"POINT (-110.277747 32.416387)",Crotalus atrox,gbif,2024/03/28,4606764488
"POINT (-103.431933 29.179119)",Crotalus atrox,gbif,2024/03/29,4607477956
"POINT (-97.413513 27.669783)",Crotalus atrox,gbif,2024/03/29,4607526756
"POINT (-100.190917 32.924003)",Crotalus atrox,gbif,2024/03/28,4606748041
"POINT (-110.688085 32.228149)",Crotalus atrox,gbif,2024/03/29,4606599283
"POINT (-112.863458 31.930724)",Crotalus atrox,gbif,2024/03/29,4606730916
"POINT (-98.845096 29.621744)",Crotalus atrox,gbif,2024/03/30,4606778240
"POINT (-111.622642 33.481937)",Crotalus atrox,gbif,2024/03/29,4606795165
"POINT (-100.86425 32.429375)",Crotalus atrox,gbif,2024/03/30,4607346462
"POINT (-97.682602 30.712932)",Crotalus atrox,gbif,2024/03/29,4606874465
"POINT (-97.862708 28.329808)",Crotalus atrox,gbif,2024/03/30,4606873562
"POINT (-103.737386 30.978522)",Crotalus atrox,gbif,2024/03/24,4606806854
"POINT (-97.966263 29.87182)",Crotalus atrox,gbif,2024/03/30,4607525969
"POINT (-111.155968 32.777462)",Crotalus atrox,gbif,2024/03/30,4606829142
"POINT (-114.667638 33.572511)",Crotalus atrox,gbif,2024/03/29,4607452002
"POINT (-97.896583 30.433783)",Crotalus atrox,gbif,2024/03/30,4607509060
"POINT (-102.920691 29.201396)",Crotalus atrox,gbif,2024/03/30,4607495948
"POINT (-112.942885 32.435217)",Crotalus atrox,gbif,2024/03/30,4606852033
"POINT (-112.878343 32.379667)",Crotalus atrox,gbif,2024/03/28,4606852238
"POINT (-113.881427 31.650143)",Crotalus atrox,gbif,2024/03/17,4607536606
"POINT (-103.152338 29.633897)",Crotalus atrox,gbif,2024/03/31,4607140825
"POINT (-101.790945 33.558966)",Crotalus atrox,gbif,2024/03/31,4606709133
"POINT (-111.923478 33.742673)",Crotalus atrox,gbif,2024/03/31,4607540152
"POINT (-111.201674 32.287727)",Crotalus atrox,gbif,2024/03/30,4606856267
"POINT (-112.499924 33.488139)",Crotalus atrox,gbif,2024/03/30,4606793429
"POINT (-97.509825 30.343187)",Crotalus atrox,gbif,2024/03/31,4606962725
"POINT (-111.650238 33.534063)",Crotalus atrox,gbif,2024/03/30,4606890721
"POINT (-112.27825 33.833791)",Crotalus atrox,gbif,2024/03/30,4607515752
"POINT (-99.95852 33.98258)",Crotalus atrox,gbif,2024/03/30,4606921389
"POINT (-97.993538 38.677523)",Crotalus atrox,gbif,2024/03/31,4607438744
"POINT (-97.327944 27.668616)",Crotalus atrox,gbif,2024/03/31,4606821014
"POINT (-97.575239 30.737051)",Crotalus atrox,gbif,2024/03/31,4606966001
