WKT,name,prov,date,key
"POINT (-118.39287 34.713974)",Crotalus scutulatus,gbif,2024/06/02,4892004976
"POINT (-116.334847 34.192322)",Crotalus scutulatus,gbif,2024/06/06,4891898479
"POINT (-111.551888 33.132545)",Crotalus scutulatus,gbif,2024/06/07,4891855905
"POINT (-113.9953 37.117478)",Crotalus scutulatus,gbif,2024/06/10,4892204324
"POINT (-116.402741 34.200749)",Crotalus scutulatus,gbif,2024/06/15,4901640513
"POINT (-118.466156 34.9817)",Crotalus scutulatus,gbif,2024/06/16,4901135853
"POINT (-117.890862 34.614483)",Crotalus scutulatus,gbif,2024/06/21,4901259865
"POINT (-118.407059 34.72031)",Crotalus scutulatus,gbif,2024/06/22,4901530392
"POINT (-102.194294 21.974415)",Crotalus scutulatus,gbif,2024/06/24,4901056091
"POINT (-118.230442 34.78527)",Crotalus scutulatus,gbif,2024/06/25,4904052131
"POINT (-118.456739 34.744636)",Crotalus scutulatus,gbif,2024/06/25,4904273145
"POINT (-104.398546 31.124838)",Crotalus scutulatus,gbif,2024/06/27,4903962429
"POINT (-104.074398 30.536688)",Crotalus scutulatus,gbif,2024/06/28,4903944289
"POINT (-104.074408 30.536707)",Crotalus scutulatus,gbif,2024/06/28,4904344566
"POINT (-104.19617 30.793967)",Crotalus scutulatus,gbif,2024/06/28,4903923201
"POINT (-110.495386 31.594649)",Crotalus scutulatus,gbif,2024/06/28,4903777501
"POINT (-103.685948 30.406414)",Crotalus scutulatus,gbif,2024/06/30,4904020167
"POINT (-103.685897 30.40651)",Crotalus scutulatus,gbif,2024/06/30,4904318843
"POINT (-103.624396 30.56255)",Crotalus scutulatus,gbif,2024/06/30,4903846339
"POINT (-109.128669 31.915517)",Crotalus scutulatus,gbif,2024/06/29,4904029442
"POINT (-104.180206 30.25953)",Crotalus scutulatus,gbif,2024/06/30,4903716731
"POINT (-110.687258 31.776169)",Crotalus scutulatus,gbif,2024/06/29,4908035498
"POINT (-110.667057 31.747492)",Crotalus scutulatus,gbif,2024/06/29,4908315586
"POINT (-118.03893 35.178201)",Crotalus scutulatus,gbif,2024/07/01,4903717455
"POINT (-109.170274 31.867763)",Crotalus scutulatus,gbif,2024/07/01,4903758765
"POINT (-103.363485 30.215796)",Crotalus scutulatus,gbif,2024/07/02,4908337176
"POINT (-110.688483 31.776117)",Crotalus scutulatus,gbif,2024/07/02,4908501815
"POINT (-112.771487 33.378004)",Crotalus scutulatus,gbif,2024/07/04,4908043821
"POINT (-110.983066 32.572929)",Crotalus scutulatus,gbif,2024/07/09,4908886455
"POINT (-115.280633 35.820823)",Crotalus scutulatus,gbif,2024/07/09,4908898822
"POINT (-111.235441 32.536909)",Crotalus scutulatus,gbif,2024/07/09,4908949194
"POINT (-111.242835 32.403556)",Crotalus scutulatus,gbif,2024/07/09,4908596575
"POINT (-111.374431 32.49224)",Crotalus scutulatus,gbif,2024/07/09,4908441660
"POINT (-111.341738 32.583979)",Crotalus scutulatus,gbif,2024/07/09,4908175063
"POINT (-111.393329 32.524773)",Crotalus scutulatus,gbif,2024/07/09,4909178103
"POINT (-111.226337 32.442645)",Crotalus scutulatus,gbif,2024/07/09,4908961185
"POINT (-110.622544 31.470761)",Crotalus scutulatus,gbif,2024/07/03,4908317542
"POINT (-110.607968 31.673466)",Crotalus scutulatus,gbif,2024/07/11,4909000241
"POINT (-116.282916 34.194212)",Crotalus scutulatus,gbif,2024/07/11,4908572619
"POINT (-115.434945 35.530155)",Crotalus scutulatus,gbif,2024/07/12,4909327413
"POINT (-103.900077 30.428572)",Crotalus scutulatus,gbif,2024/07/14,4908757298
"POINT (-118.039163 35.178356)",Crotalus scutulatus,gbif,2024/07/15,4909125234
"POINT (-109.053603 31.87348)",Crotalus scutulatus,gbif,2024/07/15,4909172777
"POINT (-117.396634 35.120378)",Crotalus scutulatus,gbif,2024/07/17,4908613178
"POINT (-117.993144 35.213183)",Crotalus scutulatus,gbif,2024/07/17,4908544887
"POINT (-106.242515 28.958933)",Crotalus scutulatus,gbif,2024/07/15,4909119880
"POINT (-106.369909 28.987255)",Crotalus scutulatus,gbif,2024/07/15,4909101587
"POINT (-106.398345 28.929116)",Crotalus scutulatus,gbif,2024/07/15,4908031724
"POINT (-106.425818 28.888007)",Crotalus scutulatus,gbif,2024/07/15,4909110450
"POINT (-106.382118 28.997126)",Crotalus scutulatus,gbif,2024/07/15,4908840316
"POINT (-106.574868 28.905859)",Crotalus scutulatus,gbif,2024/07/15,4908591105
"POINT (-106.348282 28.879829)",Crotalus scutulatus,gbif,2024/07/15,4908447895
"POINT (-114.119789 35.130172)",Crotalus scutulatus,gbif,2024/07/18,4911123193
"POINT (-109.067849 31.910072)",Crotalus scutulatus,gbif,2024/07/19,4910770779
"POINT (-104.273167 30.547659)",Crotalus scutulatus,gbif,2024/07/20,4911073743
"POINT (-104.273106 30.547633)",Crotalus scutulatus,gbif,2024/07/20,4910846347
"POINT (-112.924508 34.324162)",Crotalus scutulatus,gbif,2024/07/20,4910724359
"POINT (-112.9245 34.324178)",Crotalus scutulatus,gbif,2024/07/20,4910724480
"POINT (-112.914848 33.992743)",Crotalus scutulatus,gbif,2024/07/22,4910701271
"POINT (-112.695767 33.913496)",Crotalus scutulatus,gbif,2024/07/21,4911082075
"POINT (-101.844333 21.848704)",Crotalus scutulatus,gbif,2024/07/22,4910810803
"POINT (-118.039092 35.188102)",Crotalus scutulatus,gbif,2024/07/23,4910888298
"POINT (-112.930317 34.388589)",Crotalus scutulatus,gbif,2024/07/23,4919428665
"POINT (-117.870969 34.734383)",Crotalus scutulatus,gbif,2024/07/21,4919454954
"POINT (-110.74337 31.779517)",Crotalus scutulatus,gbif,2024/07/23,4919527205
"POINT (-109.057901 31.862682)",Crotalus scutulatus,gbif,2024/07/24,4919353640
"POINT (-109.733334 32.192439)",Crotalus scutulatus,gbif,2024/07/23,4919387782
"POINT (-111.039489 31.746303)",Crotalus scutulatus,gbif,2024/07/24,4919520278
"POINT (-103.930345 30.56022)",Crotalus scutulatus,gbif,2024/07/25,4919446158
"POINT (-109.107679 31.906461)",Crotalus scutulatus,gbif,2024/07/25,4919376576
"POINT (-109.166435 31.893913)",Crotalus scutulatus,gbif,2024/07/26,4919223633
"POINT (-110.289208 32.124611)",Crotalus scutulatus,gbif,2024/07/27,4919407468
"POINT (-109.522808 32.022683)",Crotalus scutulatus,gbif,2024/07/27,4919443760
"POINT (-109.029394 31.800774)",Crotalus scutulatus,gbif,2024/07/26,4919230986
"POINT (-106.532778 29.155049)",Crotalus scutulatus,gbif,2024/07/27,4919324665
"POINT (-106.551452 29.10222)",Crotalus scutulatus,gbif,2024/07/27,4919530099
"POINT (-104.66179 24.400483)",Crotalus scutulatus,gbif,2024/07/29,4919573455
"POINT (-118.039122 35.168575)",Crotalus scutulatus,gbif,2024/07/30,4919185330
"POINT (-109.049172 31.829542)",Crotalus scutulatus,gbif,2024/07/26,4919349139
"POINT (-117.309167 35.187476)",Crotalus scutulatus,gbif,2024/07/31,4921757107
"POINT (-104.059792 30.200737)",Crotalus scutulatus,gbif,2024/07/31,4921547532
"POINT (-109.143934 31.954319)",Crotalus scutulatus,gbif,2024/07/30,4921572895
"POINT (-108.210423 30.887772)",Crotalus scutulatus,gbif,2024/07/08,4921749904
"POINT (-109.034041 32.159464)",Crotalus scutulatus,gbif,2024/07/25,4921830787
"POINT (-109.427803 31.784268)",Crotalus scutulatus,gbif,2024/07/25,4923801860
"POINT (-109.549202 31.603234)",Crotalus scutulatus,gbif,2024/07/25,4923859128
"POINT (-109.586416 31.782056)",Crotalus scutulatus,gbif,2024/07/25,4923814395
"POINT (-97.315479 19.465664)",Crotalus scutulatus,gbif,2024/07/11,4923883647
"POINT (-97.314474 19.465813)",Crotalus scutulatus,gbif,2024/07/10,4923647741
"POINT (-109.099903 31.818513)",Crotalus scutulatus,gbif,2024/07/26,4923934625
"POINT (-109.146261 31.914551)",Crotalus scutulatus,gbif,2024/07/26,4924088503
"POINT (-110.410023 31.203536)",Crotalus scutulatus,gbif,2024/07/25,4926356094
"POINT (-105.674474 26.863405)",Crotalus scutulatus,gbif,2024/07/29,4925850668
"POINT (-110.276712 31.500417)",Crotalus scutulatus,gbif,2024/08/01,4921441540
"POINT (-116.367512 34.218142)",Crotalus scutulatus,gbif,2024/08/01,4921929483
"POINT (-111.208622 32.426221)",Crotalus scutulatus,gbif,2024/08/02,4921525349
"POINT (-109.18784 31.979813)",Crotalus scutulatus,gbif,2024/08/01,4921498862
"POINT (-116.282926 34.194165)",Crotalus scutulatus,gbif,2024/08/03,4921913798
"POINT (-111.034758 31.765788)",Crotalus scutulatus,gbif,2024/08/03,4921599540
"POINT (-117.670845 35.01008)",Crotalus scutulatus,gbif,2024/08/05,4925921034
"POINT (-112.791964 32.048851)",Crotalus scutulatus,gbif,2024/08/06,4923998921
"POINT (-101.848768 21.881346)",Crotalus scutulatus,gbif,2024/08/05,4924018349
"POINT (-112.6954 32.181896)",Crotalus scutulatus,gbif,2024/08/06,4924055280
"POINT (-111.332015 32.664242)",Crotalus scutulatus,gbif,2024/08/07,4923578863
"POINT (-111.395939 32.786129)",Crotalus scutulatus,gbif,2024/08/07,4923870594
"POINT (-109.012482 31.847613)",Crotalus scutulatus,gbif,2024/08/07,4923773370
"POINT (-109.104063 31.842364)",Crotalus scutulatus,gbif,2024/08/07,4924029916
"POINT (-109.152123 31.945734)",Crotalus scutulatus,gbif,2024/08/07,4924131645
"POINT (-109.1587 31.990505)",Crotalus scutulatus,gbif,2024/08/07,4923605584
"POINT (-109.142418 31.945526)",Crotalus scutulatus,gbif,2024/08/07,4923789649
"POINT (-109.081631 31.811574)",Crotalus scutulatus,gbif,2024/08/07,4923785330
"POINT (-109.136867 32.184)",Crotalus scutulatus,gbif,2024/08/03,4923817267
"POINT (-117.560127 35.193245)",Crotalus scutulatus,gbif,2024/08/08,4923876289
"POINT (-118.175955 34.85298)",Crotalus scutulatus,gbif,2024/08/08,4923620484
"POINT (-109.550392 32.112906)",Crotalus scutulatus,gbif,2024/08/09,4923802841
"POINT (-109.422636 32.006769)",Crotalus scutulatus,gbif,2024/08/09,4923741793
"POINT (-118.316688 34.819947)",Crotalus scutulatus,gbif,2024/08/10,4923920408
