"name","count"
"Crotalus durissus collilineatus Amaral, 1926",8
"Crotalus lepidus × aquilus",8
"Crotalus tancitarensis",8
"Crotalus vegrandis",8
"Crotalus ravus brunneus Harris & Simmons, 1978",7
"Crotalus ruber lorenzoensis Radcliffe & Maslin, 1975",7
"Crotalus durissus cascavella Wagler, 1824",6
"Crotalus enyo furvus",6
"Crotalus estebanensis",6
"Crotalus lannomi Tanner, 1966",6
"Crotalus lepidus maculosus",6
"Crotalus durissus trigonicus (Harris & Simmons, 1978)",5
"Crotalus enyo furvus Lowe & Norris, 1954",5
"Crotalus ericsmithi",5
"Crotalus lannomi",5
"BOLD:ABX2927",4
"Crotalus basiliscus oaxacus Gloyd, 1948",4
"Crotalus molossus estebanensis Klauber, 1949",4
"Crotalus ruber exsul",4
"Sistrurus ravus brunneus (Harris & Simmons, 1978)",4
"BOLD:ABY0656",3
"Crotalus durissus trigonicus",3
"Crotalus estebanensis Klauber, 1949",3
"Crotalus exiguus",3
"Crotalus oreganus abyssus Klauber, 1930",3
"Crotalus ruber exsul Garman, 1884",3
"Crotalus tancitarensis Alvarado-Díaz & Campbell, 2004",3
"BOLD:ABX3009",2
"Crotalus durissus vegrandis Klauber, 1941",2
"Crotalus ericsmithi Campbell & Flores-Villela, 2008",2
"Crotalus lorenzoensis",2
"Crotalus oreganus caliginis Klauber, 1949",2
"Crotalus polisi",2
"Crotalus polisi Meik, Schaack, Flores-Villela & Streicher, 2018",2
"Crotalus thalassoporus",2
"Crotalus thalassoporus Meik, Schaack, Flores-Villela & Streicher, 2018",2
"Crotalus durissus unicolor Van Lidth de Jeude, 1887",1
"Crotalus oreganus cerberus (Coues, 1875)",1
"Crotalus simus culminatus Klauber, 1952",1
